text,aspect,label,model_name
Battery lasted longer than my first relationship 2 days.,battery,Negative,Apple MacBook AIR Apple M2
very happy with the performance and battery life.,battery,Positive,Apple MacBook AIR Apple M2
very happy with the performance and battery life.,performance,Positive,Apple MacBook AIR Apple M2
"Awesome build quality and very good display, battery and camera.",battery,Positive,Apple MacBook AIR Apple M2
"Awesome build quality and very good display, battery and camera.",display,Positive,Apple MacBook AIR Apple M2
"Awesome build quality and very good display, battery and camera.",camera,Positive,Apple MacBook AIR Apple M2
"Awesome build quality and very good display, battery and camera.",build quality,Positive,Apple MacBook AIR Apple M2
"As A software developer, i installed intellij idea ide and guess what.",software,Positive,Apple MacBook AIR Apple M2
"Great performance, no heating issue, sound quality awesome an.",performance,Positive,Apple MacBook AIR Apple M2
"Great performance, no heating issue, sound quality awesome an.",sound,Positive,Apple MacBook AIR Apple M2
"Superb built quality, Amazing performance and display quality.",performance,Positive,Apple MacBook AIR Apple M2
"Superb built quality, Amazing performance and display quality.",display,Positive,Apple MacBook AIR Apple M2
"Got it at 72k, wonderful product at great price.",price,Positive,Apple MacBook AIR Apple M2
"Very good performance, battery life and look and feel.",battery,Positive,Apple MacBook AIR Apple M2
"Very good performance, battery life and look and feel.",performance,Positive,Apple MacBook AIR Apple M2
Product is nice but price droped by 6k after purchasing so feels a bit dispointed.,price,Neutral,Apple MacBook AIR Apple M2
I would like to tell you if you are not a gamer this is one of the best laptops you can have in this price range.,price,Positive,Apple MacBook AIR Apple M2
"Loved the design, the colour, the sound , the display, the battery backup and al.",battery,Positive,Apple MacBook AIR Apple M2
"Loved the design, the colour, the sound , the display, the battery backup and al.",display,Positive,Apple MacBook AIR Apple M2
"Loved the design, the colour, the sound , the display, the battery backup and al.",sound,Positive,Apple MacBook AIR Apple M2
Battery life is amazing.used moderately for 1 day.,battery,Positive,Apple MacBook AIR Apple M2
The Full HD camera is a welcome addition.,camera,Positive,Apple MacBook AIR Apple M2
The small notch around the camera in the top middle of the screen is pretty neatly integrated and does not disturb.,camera,Positive,Apple MacBook AIR Apple M2
The build quality is fantastic and form factor is perfect to hold and operate.,build quality,Positive,Apple MacBook AIR Apple M2
The performance it delivers is just unmatched.,performance,Negative,Apple MacBook AIR Apple M2
Overall performance is very good.,performance,Positive,Apple MacBook AIR Apple M2
Battery is Good.,battery,Positive,Apple MacBook AIR Apple M2
Display is superb.,display,Positive,Apple MacBook AIR Apple M2
First time i have used macbook after windows and i would say i cant use windows again.beautiful display with amazing sound,display,Positive,Apple MacBook AIR Apple M2
First time i have used macbook after windows and i would say i cant use windows again.beautiful display with amazing sound,sound,Positive,Apple MacBook AIR Apple M2
specially dolby atmos feature Performance of laptop is far better than windows top notch model laptops.,performance,Positive,Apple MacBook AIR Apple M2
"With its sleek design, remarkable M2 chip, and impressive battery life, its a compelling choice for many users.",battery,Positive,Apple MacBook AIR Apple M2
Performance and beauty is really amazing.,performance,Positive,Apple MacBook AIR Apple M2
Design and build quality is excellent.,build quality,Positive,Apple MacBook AIR Apple M2
Performance is good enough for most users.,performance,Positive,Apple MacBook AIR Apple M2
Battery life is mind benging.,battery,Positive,Apple MacBook AIR Apple M2
Literally M2s have crucial or beast performance no doubt.,performance,Negative,Apple MacBook AIR Apple M2
"2 weeks review, product is very optimal in performance, price a bit high but overall product satisfaction is always there when ever u purchase an apple product, would take time to get used to its apps those who r used to working on windows like I am.",performance,Positive,Apple MacBook AIR Apple M2
"2 weeks review, product is very optimal in performance, price a bit high but overall product satisfaction is always there when ever u purchase an apple product, would take time to get used to its apps those who r used to working on windows like I am.",price,Positive,Apple MacBook AIR Apple M2
"Amazing Display, battery and performance is super efficient, best product at a best price with the credit card discount.",battery,Positive,Apple MacBook AIR Apple M2
"Amazing Display, battery and performance is super efficient, best product at a best price with the credit card discount.",performance,Positive,Apple MacBook AIR Apple M2
"Amazing Display, battery and performance is super efficient, best product at a best price with the credit card discount.",display,Positive,Apple MacBook AIR Apple M2
"Amazing Display, battery and performance is super efficient, best product at a best price with the credit card discount.",price,Positive,Apple MacBook AIR Apple M2
Well I am a software developer.,software,Positive,Apple MacBook AIR Apple M2
"Awesome battery backup, performance wise no complaints , slick design and loved the midnight colour.",battery,Positive,Apple MacBook AIR Apple M2
"Awesome battery backup, performance wise no complaints , slick design and loved the midnight colour.",performance,Positive,Apple MacBook AIR Apple M2
Best machine Super slim Superb battery backup Superb performance Superb display Premium design Nice packaging 100 genuine Far better than windows laptp,battery,Positive,Apple MacBook AIR Apple M2
Best machine Super slim Superb battery backup Superb performance Superb display Premium design Nice packaging 100 genuine Far better than windows laptp,performance,Positive,Apple MacBook AIR Apple M2
Best machine Super slim Superb battery backup Superb performance Superb display Premium design Nice packaging 100 genuine Far better than windows laptp,display,Positive,Apple MacBook AIR Apple M2
Prefect product and perfect price.,price,Positive,Apple MacBook AIR Apple M2
"Overall, considering the features and performance at this price point, its a compelling deal.",performance,Positive,Apple MacBook AIR Apple M2
"Overall, considering the features and performance at this price point, its a compelling deal.",price,Positive,Apple MacBook AIR Apple M2
Battery backup is very good.,battery,Positive,Apple MacBook AIR Apple M2
Display and design 1010 Speaker and camera 1010 Performance and build quality 1010 Battery backup 1010 unbelievable I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice,battery,Positive,Apple MacBook AIR Apple M2
Display and design 1010 Speaker and camera 1010 Performance and build quality 1010 Battery backup 1010 unbelievable I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice,performance,Positive,Apple MacBook AIR Apple M2
Display and design 1010 Speaker and camera 1010 Performance and build quality 1010 Battery backup 1010 unbelievable I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice,display,Positive,Apple MacBook AIR Apple M2
Display and design 1010 Speaker and camera 1010 Performance and build quality 1010 Battery backup 1010 unbelievable I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice,camera,Positive,Apple MacBook AIR Apple M2
Display and design 1010 Speaker and camera 1010 Performance and build quality 1010 Battery backup 1010 unbelievable I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice,build quality,Positive,Apple MacBook AIR Apple M2
Right from its aesthetic finish look to its performance.,performance,Positive,Apple MacBook AIR Apple M2
The battery life is fine.,battery,Positive,Apple MacBook AIR Apple M2
Camera is great.,camera,Positive,Apple MacBook AIR Apple M2
The MacBook Air M2 truly sets a new standard in performance and portability.,performance,Positive,Apple MacBook AIR Apple M2
"The sleek design, lightweight build, and vibrant Retina display make it a joy to use on the go.",display,Positive,Apple MacBook AIR Apple M2
"With its exceptional battery life and immersive audio, the MacBook Air M2 offers an unparalleled experience for both work and entertainment.",battery,Positive,Apple MacBook AIR Apple M2
"Its a excellent choice, specially if you are buying it for work, free lancing and to learn new skills, It is great in both performance and battery in this price.",battery,Positive,Apple MacBook AIR Apple M2
"Its a excellent choice, specially if you are buying it for work, free lancing and to learn new skills, It is great in both performance and battery in this price.",performance,Positive,Apple MacBook AIR Apple M2
"Its a excellent choice, specially if you are buying it for work, free lancing and to learn new skills, It is great in both performance and battery in this price.",price,Positive,Apple MacBook AIR Apple M2
Very good battery and performance,battery,Positive,Apple MacBook AIR Apple M2
Very good battery and performance,performance,Positive,Apple MacBook AIR Apple M2
Review after 1 week Performance 1010 Display 1010 Easier to use Light weight like we hold a book in hand Happy with the product and installation speed as well as top notch on transferring data.,performance,Positive,Apple MacBook AIR Apple M2
Review after 1 week Performance 1010 Display 1010 Easier to use Light weight like we hold a book in hand Happy with the product and installation speed as well as top notch on transferring data.,display,Positive,Apple MacBook AIR Apple M2
"Display is amazing Speakers are loud No heating issues The biggest Highlight is the battery backup runs well for a good 1518 hrs on normal work usage Keyboard is fantastic, crisp, firm",battery,Positive,Apple MacBook AIR Apple M2
"Display is amazing Speakers are loud No heating issues The biggest Highlight is the battery backup runs well for a good 1518 hrs on normal work usage Keyboard is fantastic, crisp, firm",display,Positive,Apple MacBook AIR Apple M2
Best laptop in this price 73K in big billion day Sale Pros Thinner and lighter Liquid retina display Good 1080p webcam Fastest M2 chip Long battery life lasts more than a day No fan noise Smooth Mac OS Loud and clear audio quality Features missing in this price range Touch screen Oled display Atleast 512 gb storage Refresh rate atleast 90hz,battery,Positive,Apple MacBook AIR Apple M2
Best laptop in this price 73K in big billion day Sale Pros Thinner and lighter Liquid retina display Good 1080p webcam Fastest M2 chip Long battery life lasts more than a day No fan noise Smooth Mac OS Loud and clear audio quality Features missing in this price range Touch screen Oled display Atleast 512 gb storage Refresh rate atleast 90hz,display,Positive,Apple MacBook AIR Apple M2
Best laptop in this price 73K in big billion day Sale Pros Thinner and lighter Liquid retina display Good 1080p webcam Fastest M2 chip Long battery life lasts more than a day No fan noise Smooth Mac OS Loud and clear audio quality Features missing in this price range Touch screen Oled display Atleast 512 gb storage Refresh rate atleast 90hz,price,Positive,Apple MacBook AIR Apple M2
"If you need a laptop for parsonal uses , editing, coding, and much more at the best price range, Not for gaming, if you play smaller game like 200mb the machine gonna too hot if you are not a gamer then go for it.",price,Neutral,Apple MacBook AIR Apple M2
Very good performance and battery life.,battery,Positive,Apple MacBook AIR Apple M2
Very good performance and battery life.,performance,Positive,Apple MacBook AIR Apple M2
Best in class Display is just awesome crisp images Sound quality very good Fast charging also MagSafe M2 chip best Starlight colour loved it Expensive but apple is apple,display,Positive,Apple MacBook AIR Apple M2
Best in class Display is just awesome crisp images Sound quality very good Fast charging also MagSafe M2 chip best Starlight colour loved it Expensive but apple is apple,sound,Positive,Apple MacBook AIR Apple M2
Performance of Mac is much superior as compared to any windows machine.,performance,Positive,Apple MacBook AIR Apple M2
Definitely worth the price.,price,Positive,Apple MacBook AIR Apple M2
The battery is best no laptop comes close to it in terms of battery.,battery,Neutral,Apple MacBook AIR Apple M2
Coming to performance M2 chip will handle anything you throw at it but to mention M2 chip has slower SSD .,performance,Positive,Apple MacBook AIR Apple M2
Used for 2 months Pros 1.Performance is really good but 8gb ram will not be enough if youre doing video editing 2.Battery life is absolutely amazing 3.,battery,Negative,Apple MacBook AIR Apple M2
Used for 2 months Pros 1.Performance is really good but 8gb ram will not be enough if youre doing video editing 2.Battery life is absolutely amazing 3.,performance,Negative,Apple MacBook AIR Apple M2
"Display , build, keyboard, touchpad , webcam and speakers are all very good Cons 1.",display,Positive,Apple MacBook AIR Apple M2
I got it at an unbelievable price.,price,Positive,Apple MacBook AIR Apple M2
"I think I dont need to talk anything about Macbook Air M2 performance, its literally awesome and no window laptop can beat its battery.",battery,Positive,Apple MacBook AIR Apple M2
"I think I dont need to talk anything about Macbook Air M2 performance, its literally awesome and no window laptop can beat its battery.",performance,Positive,Apple MacBook AIR Apple M2
I bought the product during BBD 2023 at a good offer price.,price,Positive,Apple MacBook AIR Apple M2
I am a first time mac user and got fascinated with the design and build quality of the Macbook.,build quality,Positive,Apple MacBook AIR Apple M2
"Good product ,battery backup also good",battery,Positive,Apple MacBook AIR Apple M2
Premium And good performance,performance,Positive,Apple MacBook AIR Apple M2
"Almost good performance, design but touch pad and battery back up not good.",battery,Neutral,Apple MacBook AIR Apple M2
"Almost good performance, design but touch pad and battery back up not good.",performance,Neutral,Apple MacBook AIR Apple M2
In the start battery didnt even lasted for more than 30 mins.,battery,Negative,Apple MacBook AIR Apple M2
"When I complained to HP customer support, they sent their engineer and a new battery was installed without any problem.",battery,Positive,Apple MacBook AIR Apple M2
"I need it to try a certain amount of things in IT, however, the performance when running windows in a virtualized environment like parallels is it gets seriously affected on the M1, something that didnt happen with intel processors.",performance,Neutral,Apple MacBook AIR Apple M1
"You notice the performance degrading but not that much, maybe 10, or even 15 i risk to say when switching between full screens and main desktop with windows full separate screen, remember that theres an option to seamlessly integrate within your macOS.",performance,Neutral,Apple MacBook AIR Apple M1
"You kinda feel the stutter but i can see the M1 processor get in the way and prioritize the screen, and thats a good thing to reprioritize tasks that are being done in one screen or another take the word screen as fullscreen apps or software that switches between desktop and fullscreen apps or between apps.",software,Neutral,Apple MacBook AIR Apple M1
"In my case, running windows 11 makes the mbp m1 run hotter than im really use to, but it does not affect battery performance as much as i expected.",battery,Neutral,Apple MacBook AIR Apple M1
"In my case, running windows 11 makes the mbp m1 run hotter than im really use to, but it does not affect battery performance as much as i expected.",performance,Neutral,Apple MacBook AIR Apple M1
"Just remember thats still have 8gb ram and usable 228gb, therefore, performance wouldnt be the same as bare metal.",performance,Neutral,Apple MacBook AIR Apple M1
"Still, other regular software from apple or safari or any other browser, Office365, Adobe XD, Photoshop do not affect performance nor consume that much battery, although if you are a graphic designer or a photographer making a quick change could make you brighten your screen, in which may lead to higher power consumption, which also could be confused by software running.",battery,Neutral,Apple MacBook AIR Apple M1
"Still, other regular software from apple or safari or any other browser, Office365, Adobe XD, Photoshop do not affect performance nor consume that much battery, although if you are a graphic designer or a photographer making a quick change could make you brighten your screen, in which may lead to higher power consumption, which also could be confused by software running.",performance,Neutral,Apple MacBook AIR Apple M1
"Still, other regular software from apple or safari or any other browser, Office365, Adobe XD, Photoshop do not affect performance nor consume that much battery, although if you are a graphic designer or a photographer making a quick change could make you brighten your screen, in which may lead to higher power consumption, which also could be confused by software running.",software,Neutral,Apple MacBook AIR Apple M1
"Another thing that i found is that the left speaker sounds like it broke when hearing at 70 volume, i dont know if thats fixable or not, anywho anyhow.",sound,Negative,Apple MacBook AIR Apple M1
"One thing that ive also found is how i got used to the fact that this mbp m1 takes nothing to return from suspended state, why Because no matter what other laptop i use or desktop, for that matter, all of them takes a few seconds to access to their respective desktops and another few seconds to actually be productive after booting software.",software,Negative,Apple MacBook AIR Apple M1
and im very well aware that there are some workarounds to change to the keyboard light again using a small software.,software,Positive,Apple MacBook AIR Apple M1
"but that isnt the endgame, the thing is that we shouldnt need an extra software or aditional configuration just to use something the macbook had for, literally, over 10 yearsSpeed on this macbook you dont even feel it.",software,Negative,Apple MacBook AIR Apple M1
"everything is instant, nothing is slow, if something is, its most likely the software or the website youre on, is that simple If youre planning on using massive storage, you should use an usbc one, not an usba through usbc dongle, you will have a bottleneck, thats guaranteed.",software,Positive,Apple MacBook AIR Apple M1
"However, if youre planning on developing software on it, just make sure your libraries fit within 228gb the half of it is recommended for all ssds of storage, if thats gonna be an issue, then go for usbc massive storage.",software,Neutral,Apple MacBook AIR Apple M1
"Of course, it slowed down considerably after several years, and software and hardware updates can only help so much with an older model.",software,Negative,Apple MacBook AIR Apple M1
"So, I finally decided to purchase a new laptop, and based on my research on recent macbook models, the price and value was right on this 2020 Macbook Air.",price,Positive,Apple MacBook AIR Apple M1
"BATTERY Upon opening the box, the battery life was already pretty high, and I decided not to charge it until the battery decreased to around 1015.",battery,Negative,Apple MacBook AIR Apple M1
Great battery life thus far.,battery,Positive,Apple MacBook AIR Apple M1
"So far, the thunderbolt adapter works fine to connect the macbook air to my Thunderbolt Display monitor.",display,Positive,Apple MacBook AIR Apple M1
"However, there is no indicator light, so you cant tell that it is plugged in and successfully charging unless you look at the battery status in the menu bar, and you also cannot see when it is finished charging just at a glance.",battery,Neutral,Apple MacBook AIR Apple M1
My previous macbook had a great feature check the battery life at a glance with a quick push of a button while the laptop is still closed.,battery,Positive,Apple MacBook AIR Apple M1
"After some additional research, I realized that apple removed the battery light indicator on the macbook pros many years ago, and that airs never had this feature.",battery,Negative,Apple MacBook AIR Apple M1
"There is no way to check the battery life on this model without opening the laptop AND logging in, as the battery status in the menu bar on lock screen only shows the icon, but wont show you the percentage until you log in.",battery,Negative,Apple MacBook AIR Apple M1
Why is it that the PC world cannot make a good notebook for the same price The MacBook Air is the bar that every PC model should be at.,price,Negative,Apple MacBook AIR Apple M1
"The battery lasts more than 10 hours, even when watching movies and TV shows.",battery,Negative,Apple MacBook AIR Apple M1
"There, the battery lasts for 34 hours.",battery,Negative,Apple MacBook AIR Apple M1
The mac hardware and OS is way superior to a windows laptop in this price range.,price,Positive,Apple MacBook AIR Apple M1
"It performs all office and presentation tasks well, with good sound and video controls.",sound,Positive,Apple MacBook AIR Apple M1
When I saw it available for the older model price I bought one for home use.,price,Positive,Apple MacBook AIR Apple M1
BATTERY LIFE is fantastic.,battery,Positive,Apple MacBook AIR Apple M1
PERFORMANCE.,performance,Positive,Apple MacBook AIR Apple M1
and it looks so much better than this MBAs camera.,camera,Positive,Apple MacBook AIR Apple M1
"Sad that this thing has only 2 USBC ports that cover thunderbolt 3, USB 3.1, charging, DisplayPort.",display,Negative,Apple MacBook AIR Apple M1
"BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the nonremovable battery.",battery,Positive,Apple MacBook AIR Apple M1
Easier to have an iPhones battery replaced than a MBA I would imagine,battery,Positive,Apple MacBook AIR Apple M1
but hopefully it maintains a high level of performance for 4 years at the minimum.,performance,Positive,Apple MacBook AIR Apple M1
It was 18 months old but thats what provided the exceptional price.,price,Positive,Apple MacBook AIR Apple M1
"The M2 based MacBook would be faster and offered MagSafe charging, and a brighter display.",display,Positive,Apple MacBook AIR Apple M1
But the M2 has an overheating problem that the M1 doesnt.,overheating,Neutral,Apple MacBook AIR Apple M1
This M1 MacBook is fast enough and has reasonably good battery life.,battery,Positive,Apple MacBook AIR Apple M1
"Its incredibly fast for all we use it for, and has a good battery life.",battery,Positive,Apple MacBook AIR Apple M1
"The M1 processor is very impressive, delivering outstanding performance and powerthermal efficiency simultaneously.",performance,Positive,Apple MacBook AIR Apple M1
Battery life is every bit as good as advertised I can charge overnight and use it all day without plugging in.,battery,Positive,Apple MacBook AIR Apple M1
"Connecting USB devices such as external drives will shorten battery life, but thats to be expected.",battery,Neutral,Apple MacBook AIR Apple M1
"Ive read recently that some users have had certain hubs cause problems with their M1 Macs, which appears to be related to battery charging through these hubs.",battery,Neutral,Apple MacBook AIR Apple M1
"The 899 price at the time I bought mine was 100 less than I would have paid at the Apple Store, and I believe I can probably get 200 on eBay for my old MacBook Air try that with a 7yearold PC leaving me with a total outlay of 699.",price,Negative,Apple MacBook AIR Apple M1
"The last laptop I owned was a 2015 MacBook Pro 13inch, which I used daily until the battery became too weak to hold a charge for more than a couple of hours.",battery,Negative,Apple MacBook AIR Apple M1
"Going from a 2015 Pro, I noticed this machine is noticeably stronger in performance.",performance,Neutral,Apple MacBook AIR Apple M1
