model,aspect,total_reviews,aspect_mentions,pct_positive,pct_negative,pct_neutral,avg_confidence
Apple MacBook AIR Apple M2,General,100,134,76.87,14.18,8.96,0.983
Apple MacBook AIR Apple M2,Battery,100,31,80.65,16.13,3.23,1.0
Apple MacBook AIR Apple M2,Performance,100,58,84.48,8.62,6.9,1.0
Apple MacBook AIR Apple M2,Camera,100,6,100.0,0.0,0.0,1.0
Apple MacBook AIR Apple M2,Display,100,17,88.24,0.0,11.76,1.0
Apple MacBook AIR Apple M2,Design & Build,100,34,88.24,2.94,8.82,1.0
Apple MacBook AIR Apple M2,Software & OS,100,49,67.35,8.16,24.49,1.0
Apple MacBook AIR Apple M2,Audio,100,9,100.0,0.0,0.0,1.0
Apple MacBook AIR Apple M2,Heating / Thermals,100,3,66.67,33.33,0.0,1.0
Apple MacBook AIR Apple M2,Price,100,25,80.0,8.0,12.0,1.0
Apple MacBook AIR Apple M2,Storage,100,8,37.5,25.0,37.5,1.0
Apple MacBook AIR Apple M2,Overall,100,374,93.0,4.0,3.0,0.994
Apple MacBook AIR Apple M1,Software & OS,1650,1011,49.75,25.32,24.93,0.998
Apple MacBook AIR Apple M1,Design & Build,1650,951,59.52,19.98,20.5,0.997
Apple MacBook AIR Apple M1,Performance,1650,956,63.91,19.98,16.11,0.998
Apple MacBook AIR Apple M1,Display,1650,432,51.62,29.63,18.75,0.998
Apple MacBook AIR Apple M1,Battery,1650,472,62.92,23.94,13.14,0.999
Apple MacBook AIR Apple M1,General,1650,3738,58.53,22.95,18.51,0.988
Apple MacBook AIR Apple M1,Storage,1650,242,45.04,22.31,32.64,0.999
Apple MacBook AIR Apple M1,Camera,1650,203,43.35,30.54,26.11,0.999
Apple MacBook AIR Apple M1,Audio,1650,135,61.48,19.26,19.26,1.0
Apple MacBook AIR Apple M1,Connectivity,1650,44,47.73,29.55,22.73,1.0
Apple MacBook AIR Apple M1,Price,1650,268,53.73,24.63,21.64,0.999
Apple MacBook AIR Apple M1,Heating / Thermals,1650,41,31.71,26.83,41.46,0.991
Apple MacBook AIR Apple M1,Overall,1650,8493,74.73,18.24,7.03,0.994
Apple iPhone XR (64GB) - Black,General,2793,2183,71.32,20.11,8.57,0.989
Apple iPhone XR (64GB) - Black,Battery,2793,169,66.86,27.81,5.33,1.0
Apple iPhone XR (64GB) - Black,Performance,2793,109,62.39,26.61,11.01,0.996
Apple iPhone XR (64GB) - Black,Software & OS,2793,103,71.84,22.33,5.83,0.997
Apple iPhone XR (64GB) - Black,Display,2793,35,31.43,60.0,8.57,1.0
Apple iPhone XR (64GB) - Black,Connectivity,2793,12,8.33,75.0,16.67,1.0
Apple iPhone XR (64GB) - Black,Camera,2793,68,55.88,30.88,13.24,1.0
Apple iPhone XR (64GB) - Black,Storage,2793,15,73.33,13.33,13.33,1.0
Apple iPhone XR (64GB) - Black,Price,2793,202,80.69,14.36,4.95,0.997
Apple iPhone XR (64GB) - Black,Heating / Thermals,2793,24,4.17,79.17,16.67,0.996
Apple iPhone XR (64GB) - Black,Design & Build,2793,67,58.21,23.88,17.91,1.0
Apple iPhone XR (64GB) - Black,Audio,2793,14,35.71,57.14,7.14,0.993
Apple iPhone XR (64GB) - Black,Overall,2793,3001,70.46,21.95,7.59,0.991
Apple iPhone 14,General,515,163,92.02,3.68,4.29,1.0
Apple iPhone 14,Performance,515,196,91.84,4.08,4.08,1.0
Apple iPhone 14,Camera,515,128,95.31,1.56,3.12,1.0
Apple iPhone 14,Software & OS,515,77,87.01,5.19,7.79,0.998
Apple iPhone 14,Price,515,11,81.82,9.09,9.09,1.0
Apple iPhone 14,Design & Build,515,65,93.85,4.62,1.54,1.0
Apple iPhone 14,Storage,515,3,100.0,0.0,0.0,1.0
Apple iPhone 14,Battery,515,56,50.0,17.86,32.14,1.0
Apple iPhone 14,Display,515,35,94.29,0.0,5.71,1.0
Apple iPhone 14,Audio,515,13,100.0,0.0,0.0,1.0
Apple iPhone 14,Heating / Thermals,515,11,18.18,54.55,27.27,0.993
Apple iPhone 14,Connectivity,515,5,60.0,40.0,0.0,1.0
Apple iPhone 14,Overall,515,763,89.13,4.66,6.21,1.0
iphone15_pro,Performance,89,64,73.44,15.62,10.94,1.0
iphone15_pro,Design & Build,89,53,73.58,7.55,18.87,0.998
iphone15_pro,Software & OS,89,70,65.71,22.86,11.43,0.998
iphone15_pro,Battery,89,49,57.14,20.41,22.45,1.0
iphone15_pro,General,89,131,62.6,20.61,16.79,0.991
iphone15_pro,Camera,89,55,74.55,14.55,10.91,1.0
iphone15_pro,Price,89,17,52.94,11.76,35.29,1.0
iphone15_pro,Display,89,36,66.67,19.44,13.89,1.0
iphone15_pro,Audio,89,7,100.0,0.0,0.0,1.0
iphone15_pro,Heating / Thermals,89,12,8.33,41.67,50.0,0.998
iphone15_pro,Connectivity,89,3,66.67,33.33,0.0,1.0
iphone15_pro,Storage,89,11,81.82,18.18,0.0,1.0
iphone15_pro,Overall,89,508,76.4,16.85,6.74,0.997
iphone11,General,6449,7430,79.57,11.18,9.25,0.969
iphone11,Software & OS,6449,921,68.73,16.4,14.88,0.996
iphone11,Camera,6449,1269,76.44,12.77,10.8,1.0
iphone11,Battery,6449,1072,50.93,29.48,19.59,0.998
iphone11,Performance,6449,1270,78.43,13.07,8.5,1.0
iphone11,Display,6449,529,55.95,20.23,23.82,0.998
iphone11,Design & Build,6449,802,68.95,11.35,19.7,0.997
iphone11,Connectivity,6449,92,39.13,33.7,27.17,0.998
iphone11,Storage,6449,64,53.12,23.44,23.44,1.0
iphone11,Price,6449,711,77.36,13.36,9.28,1.0
iphone11,Audio,6449,145,60.69,30.34,8.97,0.997
iphone11,Heating / Thermals,6449,229,11.35,62.01,26.64,0.998
iphone11,Overall,6449,14534,80.12,12.85,7.02,0.983
Macbook M3 Pro,Performance,40,21,95.24,0.0,4.76,1.0
Macbook M3 Pro,Design & Build,40,12,91.67,8.33,0.0,1.0
